관리비_index,회원_index,청구년월,납부상태,합계금액,전기세,수도세,가스비,일반관리비,공동전기료,승강기전기료,청소비,경비비,수선유지비
85,5,20260701,True,155070,29452,8281,17695,42548,14649,6561,18976,12074,4834
86,5,20260801,True,154175,28322,8046,18407,41935,14431,6949,18895,12186,5004
87,5,20260901,True,149931,25932,7499,17875,41559,14535,6969,18520,12225,4817
88,6,20251101,True,260968,85896,23791,52818,40889,14195,7102,18733,12246,5298
89,6,20251201,True,252508,75028,24353,54727,41448,14366,7184,17968,12009,5425
90,6,20260101,True,256027,76980,24560,55728,41311,14441,7511,18098,12026,5372
91,6,20260201,True,251668,78225,23476,50773,40827,14496,7601,18127,12463,5680
92,6,20260301,True,262100,83461,26401,52194,42535,14118,7036,18166,12340,5849
93,6,20260401,True,249771,75692,24802,49810,41263,14186,7148,18837,12301,5732
94,6,20260501,True,262953,86110,24984,51601,41871,14680,7251,18751,12089,5616
95,6,20260601,True,254517,74842,24616,55831,41156,14449,7304,18429,12279,5611
96,6,20260701,True,260945,85957,23173,51022,42548,14649,7076,18976,12074,5470
97,6,20260801,True,262327,83740,23466,54459,41935,14431,7422,18895,12186,5793
98,6,20260901,True,257372,83672,25331,49016,41559,14535,7094,18520,12225,5420
99,7,20260701,True,204173,50778,16355,33082,42548,14649,9733,18976,12074,5978
100,7,20260801,True,197481,49394,14090,30788,41935,14431,9536,18895,12186,6226
101,7,20260901,True,201890,51911,16082,30743,41559,14535,10464,18520,12225,5851
102,8,20260301,True,167242,35464,9467,21809,42535,14118,7646,18166,12340,5697
103,8,20260401,True,167480,36507,9855,21350,41263,14186,7801,18837,12301,5380
104,8,20260501,False,169433,36504,9389,23455,41871,14680,7349,18751,12089,5345
105,8,20260601,True,167595,33987,10197,23606,41156,14449,8094,18429,12279,5398
106,8,20260701,True,168186,33964,9737,23074,42548,14649,7520,18976,12074,5644
107,8,20260801,True,165428,33683,10365,20723,41935,14431,7651,18895,12186,5559
108,8,20260901,True,167543,32792,10409,23652,41559,14535,8099,18520,12225,5752
109,9,20260101,True,223526,64571,19319,42937,41311,14441,6154,18098,12026,4669
110,9,20260201,True,225787,62912,21059,44727,40827,14496,6459,18127,12463,4717
111,9,20260301,True,228656,63514,19498,47475,42535,14118,6338,18166,12340,4672
112,9,20260401,True,229913,65654,21335,45406,41263,14186,6294,18837,12301,4637
113,9,20260501,True,235342,68676,22351,45755,41871,14680,6391,18751,12089,4778
114,9,20260601,True,224627,62949,21693,42752,41156,14449,6198,18429,12279,4722
115,9,20260701,True,239191,71484,21660,46416,42548,14649,6702,18976,12074,4682
116,9,20260801,True,232539,67682,19542,46530,41935,14431,6705,18895,12186,4633
117,9,20260901,True,227049,67061,19834,41951,41559,14535,6731,18520,12225,4633
118,10,20260901,True,222041,62707,20026,39682,41559,14535,8766,18520,12225,4021
119,11,20260201,True,160954,31075,9354,20399,40827,14496,9186,18127,12463,5027
120,11,20260301,True,159801,29649,9711,18750,42535,14118,9522,18166,12340,5010
121,11,20260401,True,161479,30591,9828,19856,41263,14186,9404,18837,12301,5213
122,11,20260501,True,162566,31100,9196,20460,41871,14680,9577,18751,12089,4842
123,11,20260601,True,156576,28717,8891,18543,41156,14449,9285,18429,12279,4827
124,11,20260701,True,162628,29831,9636,20240,42548,14649,9357,18976,12074,5317
125,11,20260801,True,159492,30553,9074,18081,41935,14431,9204,18895,12186,5133
126,11,20260901,True,161392,31469,8776,19938,41559,14535,9072,18520,12225,5298
127,12,20260901,True,253272,77817,23085,50822,41559,14535,9329,18520,12225,5380
128,13,20260901,True,211639,57349,15855,35039,41559,14535,9748,18520,12225,6809
129,14,20260101,True,227387,61672,20506,42651,41311,14441,10193,18098,12026,6489
130,14,20260201,True,227767,64258,20390,40364,40827,14496,10071,18127,12463,6771
131,14,20260301,True,216960,56467,17986,38266,42535,14118,10655,18166,12340,6427
132,14,20260401,True,228506,64564,20309,40256,41263,14186,10319,18837,12301,6471
133,14,20260501,True,228795,65175,17743,40636,41871,14680,10990,18751,12089,6860
134,14,20260601,True,222596,62739,19268,37381,41156,14449,10222,18429,12279,6673
135,14,20260701,True,227497,59357,20371,42416,42548,14649,10370,18976,12074,6736
136,14,20260801,True,222145,57577,20141,39457,41935,14431,10500,18895,12186,7023
137,14,20260901,True,224565,61334,18079,41184,41559,14535,10161,18520,12225,6968
138,15,20250801,True,216203,57260,19962,39257,40410,14441,10122,18430,11870,4451
139,15,20250901,True,219980,63048,18401,37822,41314,14316,10263,18007,12338,4471
140,15,20251001,True,219380,59746,20106,39221,41277,14100,9703,18287,12273,4667
141,15,20251101,True,214319,57828,18715,37502,40889,14195,9834,18733,12246,4377
142,15,20251201,True,218343,57023,19118,42437,41448,14366,9582,17968,12009,4392
143,15,20260101,True,216713,57623,18611,40392,41311,14441,9803,18098,12026,4408
144,15,20260201,True,220088,59149,18572,42246,40827,14496,9425,18127,12463,4783
145,15,20260301,True,230502,65706,19149,43692,42535,14118,10246,18166,12340,4550
146,15,20260401,True,219822,56476,18756,42863,41263,14186,10360,18837,12301,4780
147,15,20260501,True,222039,59155,17706,42755,41871,14680,10230,18751,12089,4802
148,15,20260601,True,218524,59372,20289,37928,41156,14449,10155,18429,12279,4467
149,15,20260701,True,225918,63396,17640,42175,42548,14649,9613,18976,12074,4847
150,15,20260801,True,217652,58168,18184,39116,41935,14431,9936,18895,12186,4801
151,15,20260901,True,223576,63662,19622,39026,41559,14535,9983,18520,12225,4444
152,16,20260501,True,152439,26272,8586,18171,41871,14680,7936,18751,12089,4083
153,16,20260601,True,152275,28190,8063,17340,41156,14449,7897,18429,12279,4472
154,16,20260701,True,155248,29361,8094,17053,42548,14649,8397,18976,12074,4096
155,16,20260801,False,154258,29757,8051,16706,41935,14431,7918,18895,12186,4379
156,16,20260901,True,154157,29806,7424,17664,41559,14535,8180,18520,12225,4244
157,17,20230601,True,231870,67806,21068,46223,39537,13946,8777,17278,11587,5648
158,17,20230701,True,232071,71098,20223,42495,40184,13730,9201,17728,11623,5789
159,17,20230801,True,229092,65667,21243,45652,40010,13364,8619,17209,11477,5851
160,17,20230901,True,234789,73667,21263,43971,38847,13516,8780,17130,11491,6124
161,17,20231001,True,231601,72337,21048,40696,40016,13630,8931,17394,11472,6077
162,17,20231101,True,233107,70594,21269,43294,39356,14045,9421,17668,11724,5736
163,17,20231201,True,225716,65066,21691,41816,39235,13927,9245,17275,11611,5850
164,17,20240101,True,228444,65504,21761,42319,40931,13891,8914,17650,11809,5665
165,17,20240201,True,226685,67065,20359,40474,40711,14009,9382,17394,11449,5842
166,17,20240301,True,230304,68764,21528,41984,39731,13683,9157,17408,12002,6047
167,17,20240401,True,232616,69824,20425,42843,40922,13740,9479,17830,11702,5851
168,17,20240501,True,224776,64661,20583,40513,41070,13864,8746,17517,11636,6186
169,17,20240601,True,229994,68569,20695,41680,40433,13752,8977,17830,12038,6020
170,17,20240701,True,225402,65235,20342,40479,40178,13746,9658,18227,11831,5706
171,17,20240801,True,236045,71142,20175,46842,39627,13650,9317,17471,11921,5900
172,17,20240901,True,229291,67257,21033,41224,41110,13935,9509,17461,11797,5965
173,17,20241001,True,240094,71642,21091,45843,41593,14034,9709,18298,12101,5783
174,17,20241101,True,229941,70060,19830,40699,39674,14192,9647,18072,11930,5837
175,17,20241201,True,229926,66880,20092,44183,40260,14161,8869,17595,11890,5996
176,17,20250101,True,234592,70064,21444,42298,40709,14404,9327,18308,11808,6230
177,17,20250201,True,225765,64158,19478,40986,40874,13885,9499,18373,12190,6322
178,17,20250301,True,238640,71815,21411,45289,40533,14233,9562,18132,11783,5882
179,17,20250401,True,234225,68480,19719,44304,41549,14187,9292,18316,12029,6349
180,17,20250501,True,229490,65750,21631,42106,40063,14059,9767,17664,12288,6162
181,17,20250601,True,240809,70982,21765,46539,41930,14442,9542,17954,11787,5868
182,17,20250701,True,241946,73582,22000,44075,42000,14548,9781,17784,12064,6112
183,17,20250801,True,237343,69115,21534,45953,40410,14441,9578,18430,11870,6012
184,17,20250901,True,237139,73427,21927,40025,41314,14316,9623,18007,12338,6162
185,17,20251001,False,236733,74284,19126,41984,41277,14100,9162,18287,12273,6240
186,17,20251101,True,235031,68246,20694,44371,40889,14195,9355,18733,12246,6302
187,17,20251201,True,230809,67962,20188,41490,41448,14366,9176,17968,12009,6202
188,17,20260101,True,233148,65015,20580,45889,41311,14441,9412,18098,12026,6376
189,17,20260201,True,235133,68086,19709,46094,40827,14496,9330,18127,12463,6001
190,17,20260301,True,228736,63608,20884,41022,42535,14118,9806,18166,12340,6257
191,17,20260401,True,235789,70743,21950,40964,41263,14186,9380,18837,12301,6165
192,17,20260501,True,243534,72377,21575,46239,41871,14680,9733,18751,12089,6219
193,17,20260601,True,240418,73750,20802,43182,41156,14449,9863,18429,12279,6508
194,17,20260701,True,238550,72533,20023,41591,42548,14649,9824,18976,12074,6332
195,17,20260801,True,232260,63562,20393,45107,41935,14431,9406,18895,12186,6345
196,17,20260901,False,234857,66452,21792,44031,41559,14535,9744,18520,12225,5999
197,18,20240401,True,150940,27781,9175,19089,40922,13740,6727,17830,11702,3974
198,18,20240501,True,155838,32216,8581,20218,41070,13864,6748,17517,11636,3988
199,18,20240601,True,154592,31724,9568,18811,40433,13752,6274,17830,12038,4162
200,18,20240701,True,152761,30112,9362,18705,40178,13746,6474,18227,11831,4126
201,18,20240801,True,153657,30785,9448,20074,39627,13650,6740,17471,11921,3941
202,18,20240901,True,155553,30382,9366,20759,41110,13935,6711,17461,11797,4032
203,18,20241001,True,153966,27651,9132,20766,41593,14034,6370,18298,12101,4021
204,18,20241101,True,153669,29191,8983,20990,39674,14192,6692,18072,11930,3945
205,18,20241201,True,152276,28404,9487,19804,40260,14161,6456,17595,11890,4219
206,18,20250101,True,155570,31368,8847,19903,40709,14404,6299,18308,11808,3924
207,18,20250201,True,154392,30349,9430,18850,40874,13885,6509,18373,12190,3932
208,18,20250301,True,150379,27731,9177,18335,40533,14233,6409,18132,11783,4046
209,18,20250401,True,156709,31362,8835,19861,41549,14187,6497,18316,12029,4073
210,18,20250501,True,152846,28833,9555,19823,40063,14059,6330,17664,12288,4231
211,18,20250601,True,156557,31147,9434,19093,41930,14442,6558,17954,11787,4212
212,18,20250701,True,155917,31356,8811,18504,42000,14548,6939,17784,12064,3911
213,18,20250801,True,154833,27758,9912,20958,40410,14441,6907,18430,11870,4147
214,18,20250901,True,158458,31544,9696,20288,41314,14316,6650,18007,12338,4305
215,18,20251001,True,155643,29439,9436,20205,41277,14100,6542,18287,12273,4084
216,18,20251101,True,155473,30373,9703,18109,40889,14195,6950,18733,12246,4275
217,18,20251201,True,156218,31533,8541,19387,41448,14366,6725,17968,12009,4241
218,18,20260101,True,157667,29886,9859,20818,41311,14441,6912,18098,12026,4316
219,18,20260201,True,155367,30880,9038,18759,40827,14496,6714,18127,12463,4063
220,18,20260301,True,157003,29686,8889,20427,42535,14118,6724,18166,12340,4118
221,18,20260401,True,157023,29115,9244,20922,41263,14186,6859,18837,12301,4296
222,18,20260501,True,158328,30150,8984,20574,41871,14680,6908,18751,12089,4321
223,18,20260601,True,156128,30729,8865,18783,41156,14449,7051,18429,12279,4387
224,18,20260701,True,156938,28825,9323,19378,42548,14649,6802,18976,12074,4363
225,18,20260801,True,157124,28760,9453,20343,41935,14431,6853,18895,12186,4268
226,18,20260901,False,157230,30853,9926,18917,41559,14535,6519,18520,12225,4176
227,19,20260301,True,192663,45146,14149,32038,42535,14118,10154,18166,12340,4017
228,19,20260401,True,199731,50454,14838,33671,41263,14186,10160,18837,12301,4021
229,19,20260501,True,192565,45346,15490,30195,41871,14680,10208,18751,12089,3935
230,19,20260601,True,200153,52088,14511,33016,41156,14449,10147,18429,12279,4078
231,19,20260701,True,202931,52589,14194,33044,42548,14649,10788,18976,12074,4069
232,19,20260801,True,202505,51068,15559,34076,41935,14431,10427,18895,12186,3928
233,19,20260901,True,192831,45949,14432,31431,41559,14535,10158,18520,12225,4022
234,20,20230801,True,146528,26099,7940,19426,40010,13364,6229,17209,11477,4774
235,20,20230901,True,148238,28861,8214,18777,38847,13516,6644,17130,11491,4758
236,20,20231001,True,147183,29257,7714,16739,40016,13630,6172,17394,11472,4789
237,20,20231101,True,150570,30221,7690,18900,39356,14045,6238,17668,11724,4728
238,20,20231201,True,145166,26070,8613,17137,39235,13927,6558,17275,11611,4740
239,20,20240101,True,150116,28651,7498,18117,40931,13891,6710,17650,11809,4859
240,20,20240201,True,148327,28510,7495,17831,40711,14009,6283,17394,11449,4645
241,20,20240301,True,145960,25916,7450,18655,39731,13683,6298,17408,12002,4817
242,20,20240401,False,147184,25844,7997,18440,40922,13740,6196,17830,11702,4513
243,20,20240501,True,145669,25929,7859,16996,41070,13864,6161,17517,11636,4637
244,20,20240601,True,149082,27513,7364,18597,40433,13752,6746,17830,12038,4809
245,20,20240701,True,149613,27902,7877,18655,40178,13746,6634,18227,11831,4563
246,20,20240801,True,144883,26074,7649,17667,39627,13650,6166,17471,11921,4658
247,20,20240901,True,150344,29253,7515,18101,41110,13935,6479,17461,11797,4693
248,20,20241001,True,149210,27253,7747,16718,41593,14034,6807,18298,12101,4659
249,20,20241101,True,150722,28658,7827,19017,39674,14192,6751,18072,11930,4601
250,20,20241201,True,150195,29528,8333,17395,40260,14161,6243,17595,11890,4790
251,20,20250101,True,152012,28244,8598,18462,40709,14404,6588,18308,11808,4891
252,20,20250201,True,150149,27507,7496,18543,40874,13885,6321,18373,12190,4960
253,20,20250301,False,150905,29725,7920,17105,40533,14233,6855,18132,11783,4619
254,20,20250401,True,149096,25873,8635,17246,41549,14187,6406,18316,12029,4855
255,20,20250501,True,150977,29311,8183,17999,40063,14059,6528,17664,12288,4882
256,20,20250601,True,152362,29396,8597,16607,41930,14442,6672,17954,11787,4977
257,20,20250701,True,151254,27272,8282,17727,42000,14548,6527,17784,12064,5050
258,20,20250801,True,152522,28689,8029,19267,40410,14441,6483,18430,11870,4903
259,20,20250901,True,151159,28163,8308,17230,41314,14316,6581,18007,12338,4902
260,20,20251001,True,151038,29054,7985,16614,41277,14100,6347,18287,12273,5101
261,20,20251101,False,152088,28530,7670,18428,40889,14195,6384,18733,12246,5013
262,20,20251201,True,153349,28594,8517,18923,41448,14366,6746,17968,12009,4778
263,20,20260101,True,150715,28498,8429,16744,41311,14441,6394,18098,12026,4774
264,20,20260201,True,150098,26271,8121,18333,40827,14496,6719,18127,12463,4741
265,20,20260301,True,152230,26667,7791,18967,42535,14118,6635,18166,12340,5011
266,20,20260401,True,151574,27560,7514,18530,41263,14186,6687,18837,12301,4696
267,20,20260501,True,151762,27200,8594,17174,41871,14680,6576,18751,12089,4827
268,20,20260601,True,149341,26537,7440,17348,41156,14449,6972,18429,12279,4731
269,20,20260701,True,151022,26512,7833,17035,42548,14649,6561,18976,12074,4834
270,20,20260801,True,154135,28367,7530,18838,41935,14431,6949,18895,12186,5004
271,20,20260901,True,152724,27445,7561,19093,41559,14535,6969,18520,12225,4817
272,21,20260901,True,242166,69086,24140,49587,41559,14535,7094,18520,12225,5420
273,22,20260901,True,174605,35719,11134,24598,41559,14535,10464,18520,12225,5851
274,23,20260901,True,188054,43253,13766,30345,41559,14535,8099,18520,12225,5752
275,24,20260201,True,227317,65163,19716,45349,40827,14496,6459,18127,12463,4717
276,24,20260301,True,230803,70363,21172,41099,42535,14118,6338,18166,12340,4672
277,24,20260401,True,228290,65837,20529,44406,41263,14186,6294,18837,12301,4637
278,24,20260501,True,239077,73294,22386,44837,41871,14680,6391,18751,12089,4778
279,24,20260601,True,235102,73296,20825,43748,41156,14449,6198,18429,12279,4722
280,24,20260701,True,225040,64824,19312,41273,42548,14649,6702,18976,12074,4682
281,24,20260801,True,236676,71740,22169,43982,41935,14431,6705,18895,12186,4633
282,24,20260901,True,233159,72598,19315,43043,41559,14535,6731,18520,12225,4633
283,25,20260101,True,231763,65295,21188,46746,41311,14441,8633,18098,12026,4025
284,25,20260201,True,226234,63696,19310,44263,40827,14496,9081,18127,12463,3971
285,25,20260301,True,224559,62876,20849,40978,42535,14118,8840,18166,12340,3857
286,25,20260401,True,231743,67399,21065,43430,41263,14186,9465,18837,12301,3797
287,25,20260501,True,233815,72334,19901,41255,41871,14680,8776,18751,12089,4158
288,25,20260601,True,227241,65139,20509,41887,41156,14449,9300,18429,12279,4093
289,25,20260701,True,226276,63360,21083,40862,42548,14649,8882,18976,12074,3842
290,25,20260801,True,228314,64911,21164,41733,41935,14431,9086,18895,12186,3973
291,25,20260901,True,229952,67540,19782,43004,41559,14535,8766,18520,12225,4021
292,26,20240201,True,154424,29212,8511,19714,40711,14009,8749,17394,11449,4675
293,26,20240301,True,153088,28133,9149,19244,39731,13683,8979,17408,12002,4759
294,26,20240401,True,154240,28655,8898,18429,40922,13740,9154,17830,11702,4910
295,26,20240501,True,158915,32173,9797,19743,41070,13864,8459,17517,11636,4656
296,26,20240601,True,154659,28702,9070,19567,40433,13752,8569,17830,12038,4698
297,26,20240701,False,154647,28638,9160,19383,40178,13746,8493,18227,11831,4991
298,26,20240801,True,154318,29654,9748,18713,39627,13650,8440,17471,11921,5094
299,26,20240901,True,157498,28667,9829,20892,41110,13935,8943,17461,11797,4864
300,26,20241001,True,158922,31911,9078,18077,41593,14034,8901,18298,12101,4929
301,26,20241101,True,157569,31120,9206,19268,39674,14192,9021,18072,11930,5086
302,26,20241201,True,157274,31486,9489,18245,40260,14161,9002,17595,11890,5146
303,26,20250101,True,156783,27998,9572,20102,40709,14404,8734,18308,11808,5148
304,26,20250201,True,155281,28646,8991,18685,40874,13885,8742,18373,12190,4895
305,26,20250301,True,154141,27676,9448,18444,40533,14233,8894,18132,11783,4998
306,26,20250401,True,160916,30337,9323,20986,41549,14187,9202,18316,12029,4987
307,26,20250501,True,153914,28265,9499,18517,40063,14059,8820,17664,12288,4739
308,26,20250601,True,157827,30608,9500,17944,41930,14442,8933,17954,11787,4729
309,26,20250701,True,158645,29447,9480,19596,42000,14548,8865,17784,12064,4861
310,26,20250801,True,160047,31213,9491,19851,40410,14441,9128,18430,11870,5213
311,26,20250901,True,157590,28594,9471,19875,41314,14316,8644,18007,12338,5031
312,26,20251001,True,161968,32074,9221,20779,41277,14100,8925,18287,12273,5032
313,26,20251101,True,156903,27847,9027,19391,40889,14195,9455,18733,12246,5120
314,26,20251201,True,158564,29358,9418,20139,41448,14366,8644,17968,12009,5214
315,26,20260101,True,158841,31313,8667,18984,41311,14441,9140,18098,12026,4861
316,26,20260201,True,160677,30715,9549,20287,40827,14496,9186,18127,12463,5027
317,26,20260301,True,162549,30973,9572,20313,42535,14118,9522,18166,12340,5010
318,26,20260401,True,161578,31910,9205,19259,41263,14186,9404,18837,12301,5213
319,26,20260501,True,159832,29389,9129,19504,41871,14680,9577,18751,12089,4842
320,26,20260601,True,160042,29856,9246,20515,41156,14449,9285,18429,12279,4827
321,26,20260701,True,161735,29769,9005,20040,42548,14649,9357,18976,12074,5317
322,26,20260801,True,162368,32294,9763,18527,41935,14431,9204,18895,12186,5133
323,26,20260901,True,156764,28019,9039,18497,41559,14535,9072,18520,12225,5298
324,27,20260201,True,237255,69923,21387,45020,40827,14496,9714,18127,12463,5298
325,27,20260301,False,245270,70805,21530,51472,42535,14118,9198,18166,12340,5106
326,27,20260401,True,250027,73998,23259,51315,41263,14186,9521,18837,12301,5347
327,27,20260501,True,244222,74041,23459,44324,41871,14680,9866,18751,12089,5141
328,27,20260601,True,244083,69264,23691,50572,41156,14449,9315,18429,12279,4928
329,27,20260701,True,247846,73030,22884,49196,42548,14649,9365,18976,12074,5124
330,27,20260801,True,248763,74833,23199,48231,41935,14431,9723,18895,12186,5330
331,27,20260901,True,249945,74496,22843,51058,41559,14535,9329,18520,12225,5380
332,28,20260301,True,199189,51267,14057,30854,42535,14118,9197,18166,12340,6655
333,28,20260401,True,198880,51708,13872,30413,41263,14186,9290,18837,12301,7010
334,28,20260501,True,198767,49930,13902,31677,41871,14680,9376,18751,12089,6491
335,28,20260601,True,197723,46454,15189,33539,41156,14449,9556,18429,12279,6672
336,28,20260701,True,198673,46344,13798,33988,42548,14649,9775,18976,12074,6521
337,28,20260801,True,196671,48536,14393,30013,41935,14431,9596,18895,12186,6686
338,28,20260901,True,199242,50297,15824,29725,41559,14535,9748,18520,12225,6809
339,29,20260101,False,225447,65640,19202,38047,41311,14441,10193,18098,12026,6489
340,29,20260201,True,231283,65207,19920,43401,40827,14496,10071,18127,12463,6771
341,29,20260301,True,223219,57643,20536,40799,42535,14118,10655,18166,12340,6427
342,29,20260401,True,227354,62437,18475,43065,41263,14186,10319,18837,12301,6471
343,29,20260501,True,230911,63480,20609,41581,41871,14680,10990,18751,12089,6860
344,29,20260601,True,226282,63230,20390,39454,41156,14449,10222,18429,12279,6673
345,29,20260701,True,225494,60794,17694,41653,42548,14649,10370,18976,12074,6736
346,29,20260801,True,219478,56362,19459,38687,41935,14431,10500,18895,12186,7023
